"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rell","Support",3,"8.6%","0.0%","8.6%","33%","100%",1,10,23,2.4,"75.0%","21.7%","33%",-79,112,1,1.1,"1.5%",158,"6.8%","9.7%",2.11,0.47
"Renata Glasc","Support",2,"5.7%","0.0%","5.7%","50%","50%",1,5,17,3.6,"66.7%","18.5%","0%",-186,42,-2.5,1.3,"3.8%",197,"7.0%","10.4%",1.68,0.5
"Renekton","Top",6,"17.1%","5.7%","22.9%","67%","33%",16,11,29,4.1,"61.6%","19.0%","33%",-86,-94,-6.7,8.7,"25.8%",433,"17.9%","21.6%",0.33,0.19
"Rumble","Top",8,"22.9%","22.9%","45.7%","50%","0%",15,26,48,2.4,"56.8%","25.5%","13%",309,125,2.1,8.6,"24.2%",671,"23.3%","22.0%",0.48,0.1
"Ryze","Middle",8,"22.9%","8.6%","31.4%","100%","13%",34,16,55,5.6,"59.7%","21.1%","13%",-69,-292,-2.6,9,"25.2%",636,"20.5%","21.0%",0.49,0.22
"Sejuani","Jungle",2,"5.7%","0.0%","5.7%","100%","50%",8,3,20,9.3,"80.0%","12.5%","50%",393,530,9,7.3,"20.6%",544,"19.6%","21.0%",0.42,0.39
"Senna","ADC",3,"8.6%","0.0%","11.4%","67%","100%",7,3,30,12.3,"82.2%","9.4%","0%",99,-137,-2.7,8.7,"26.1%",764,"27.0%","25.8%",0.38,0.37
"Senna","Support",1,"2.9%","0.0%","11.4%","0%","0%",0,1,3,3,"60.0%","6.7%","0%",-426,-156,-9,1.6,"6.2%",398,"15.9%","13.1%",1.82,0.62
"Seraphine","Support",5,"14.3%","28.6%","42.9%","40%","0%",4,21,46,2.4,"84.7%","27.3%","0%",-7,127,4.4,1.1,"1.8%",224,"9.2%","10.2%",1.9,0.33
"Shen","-",0,"0%","2.9%","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Top",9,"25.7%","2.9%","28.6%","44%","11%",23,25,53,3,"62.8%","19.1%","11%",-195,-11,-8.6,7.5,"20.0%",587,"19.6%","18.8%",0.37,0.18
"Sivir","ADC",5,"14.3%","2.9%","17.1%","40%","80%",20,10,25,4.5,"75.0%","16.4%","20%",-89,-3,0.2,10.6,"33.9%",948,"31.6%","29.0%",0.51,0.26
"Skarner","Jungle",5,"14.3%","8.6%","25.7%","40%","60%",6,13,34,3.1,"69.0%","21.3%","20%",-169,199,2.2,6.2,"15.6%",404,"15.8%","17.3%",0.33,0.32
"Skarner","Top",1,"2.9%","8.6%","25.7%","0%","100%",2,4,2,1,"80.0%","22.2%","0%",-234,-186,-5,6.8,"17.8%",582,"27.5%","21.4%",0.36,0.14
"Smolder","ADC",1,"2.9%","0.0%","2.9%","0%","100%",0,2,0,0,"0.0%","11.8%","0%",-1048,-514,-26,9.5,"34.5%",471,"29.4%","26.8%",0.38,0.25
"Sylas","Jungle",1,"2.9%","8.6%","20.0%","100%","100%",7,2,9,8,"88.9%","20.0%","100%",626,-248,-6,8,"25.3%",769,"27.9%","26.2%",0.41,0.27
"Sylas","Middle",2,"5.7%","8.6%","20.0%","50%","50%",12,3,5,5.7,"68.0%","16.7%","0%",-137,-200,-7,8.4,"22.2%",573,"23.4%","20.4%",0.45,0.08
"Sylas","Top",1,"2.9%","8.6%","20.0%","100%","100%",5,1,6,11,"47.8%","16.7%","0%",29,439,12,9.3,"27.7%",573,"21.3%","20.2%",0.47,0.34
"Syndra","Middle",2,"5.7%","14.3%","20.0%","0%","100%",4,8,5,1.1,"90.0%","22.2%","0%",130,171,5.5,9,"25.1%",594,"24.5%","23.2%",0.38,0.14
"Taliyah","Middle",5,"14.3%","2.9%","17.1%","40%","60%",10,14,25,2.5,"53.8%","18.7%","40%",-53,-221,-2.2,8.6,"23.1%",593,"22.1%","19.8%",0.53,0.23
"Thresh","Support",1,"2.9%","0.0%","2.9%","100%","0%",0,2,12,6,"70.6%","20.0%","0%",-174,-338,4,1,"1.2%",127,"4.2%","10.1%",1.93,0.29
"Tristana","ADC",1,"2.9%","0.0%","5.7%","100%","100%",5,1,5,10,"45.5%","16.7%","0%",-172,74,-9,10.1,"29.6%",436,"17.4%","25.6%",0.49,0.46
"Tristana","Middle",1,"2.9%","0.0%","5.7%","0%","100%",2,3,1,1,"37.5%","18.8%","0%",452,541,8,10.2,"29.4%",685,"28.4%","26.8%",0.79,0.47
"Trundle","Jungle",5,"14.3%","17.1%","31.4%","40%","60%",11,14,29,2.9,"75.5%","24.6%","60%",-1,61,-0.6,6.5,"17.2%",359,"14.7%","19.7%",0.31,0.51
"Twisted Fate","Middle",3,"8.6%","11.4%","22.9%","33%","0%",13,7,12,3.6,"75.8%","17.5%","33%",-35,-492,-18.3,8.1,"22.6%",677,"24.4%","25.0%",0.35,0.17
"Twisted Fate","Top",1,"2.9%","11.4%","22.9%","100%","100%",7,2,7,7,"70.0%","25.0%","0%",408,-248,9,7.5,"22.6%",739,"25.0%","24.3%",0.48,0.21
"Varus","ADC",2,"5.7%","82.9%","88.6%","0%","50%",7,6,3,1.7,"71.4%","15.4%","0%",-467,-70,-3,9.2,"29.2%",754,"32.6%","29.2%",0.55,0.2
"Vayne","Top",2,"5.7%","57.1%","62.9%","50%","50%",9,5,7,3.2,"51.6%","21.7%","50%",649,221,11,8.4,"25.6%",766,"26.9%","21.7%",0.48,0.21
"Vi","Jungle",7,"20.0%","14.3%","34.3%","29%","57%",16,29,59,2.6,"66.4%","26.6%","29%",23,58,1,6.9,"18.8%",417,"12.7%","18.8%",0.4,0.34
"Viktor","Middle",6,"17.1%","0.0%","17.1%","67%","50%",20,18,23,2.4,"61.4%","20.5%","0%",-53,29,5.2,8.5,"24.0%",894,"30.4%","20.9%",0.44,0.13
"Volibear","-",0,"0%","2.9%","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Wukong","-",0,"0%","2.9%","2.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xayah","ADC",4,"11.4%","0.0%","11.4%","75%","75%",17,6,21,6.3,"66.7%","15.4%","50%",320,305,10,10.4,"31.3%",650,"25.6%","26.9%",0.58,0.27
"Xin Zhao","Jungle",6,"17.1%","11.4%","28.6%","33%","67%",17,27,21,1.4,"67.9%","30.7%","33%",-330,-488,-9.2,6.5,"17.5%",449,"18.4%","19.7%",0.35,0.38
"Yone","Middle",1,"2.9%","2.9%","8.6%","100%","100%",3,3,7,3.3,"58.8%","30.0%","0%",351,679,11,8.5,"23.2%",683,"22.4%","20.5%",0.27,0.11
"Yone","Top",1,"2.9%","2.9%","8.6%","100%","100%",1,2,5,3,"35.3%","25.0%","0%",385,385,16,9,"25.9%",712,"22.0%","19.9%",0.39,0.19
"Yorick","Top",4,"11.4%","2.9%","14.3%","75%","100%",12,13,19,2.4,"52.5%","20.0%","0%",-606,-352,-13.8,8.4,"27.6%",628,"19.8%","22.1%",0.43,0.19
"Yunara","ADC",3,"8.6%","0.0%","8.6%","33%","100%",8,7,11,2.7,"65.5%","14.9%","0%",-89,-142,-4.7,9.7,"31.2%",676,"28.5%","28.4%",0.47,0.35
"Zaahen","Jungle",3,"8.6%","5.7%","14.3%","0%","100%",6,11,11,1.5,"60.7%","20.8%","0%",-243,35,-1.7,6.9,"18.6%",390,"16.7%","20.6%",0.36,0.71
"Zeri","ADC",3,"8.6%","0.0%","8.6%","33%","67%",11,10,8,1.9,"65.5%","18.9%","0%",432,-296,-4.3,10.3,"35.8%",575,"22.7%","30.3%",0.47,0.59
"Ziggs","ADC",1,"2.9%","0.0%","2.9%","100%","100%",5,1,7,12,"66.7%","20.0%","0%",191,250,2,9,"28.3%",932,"30.4%","26.9%",0.54,0.18
"Zoe","Middle",5,"14.3%","2.9%","17.1%","40%","80%",22,13,30,4,"77.6%","20.0%","80%",556,455,6.2,7.1,"16.9%",831,"30.1%","20.6%",0.57,0.22
