"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sejuani","Jungle",2,"1.0%","0.0%","1.0%","50%","100%",6,6,10,2.7,"69.6%","19.4%","0%",-437,-202,-2.5,6,"11.2%",382,"15.1%","17.0%",0.34,0.33
"Senna","ADC",3,"1.5%","0.5%","2.0%","0%","100%",5,13,24,2.2,"67.4%","17.6%","67%",194,324,3,7.9,"23.8%",596,"21.9%","22.9%",0.46,0.3
"Seraphine","Support",49,"24.0%","4.9%","28.9%","49%","35%",52,121,480,4.4,"79.8%","18.1%","18%",22,70,0.4,1.1,"2.3%",266,"10.3%","11.0%",1.88,0.42
"Shen","Top",3,"1.5%","0.5%","2.0%","67%","100%",7,6,28,5.8,"70.0%","18.8%","33%",-81,-248,-15,8.3,"23.2%",719,"18.5%","19.3%",0.44,0.21
"Sion","Top",41,"20.1%","7.4%","27.5%","59%","51%",70,89,322,4.4,"54.7%","16.3%","17%",-173,-37,-5.7,8,"21.0%",564,"19.1%","17.7%",0.45,0.16
"Sivir","ADC",20,"9.8%","8.3%","18.1%","55%","85%",78,49,155,4.8,"73.3%","16.2%","30%",38,-78,-2.2,10.4,"34.0%",842,"27.6%","28.5%",0.46,0.3
"Skarner","Jungle",14,"6.9%","3.4%","10.8%","64%","100%",43,36,101,4,"68.9%","22.5%","29%",42,-54,0.3,6.5,"17.0%",434,"15.1%","18.8%",0.4,0.35
"Skarner","Support",1,"0.5%","3.4%","10.8%","100%","100%",2,1,8,10,"62.5%","20.0%","0%",-46,555,-5,0.7,"1.1%",229,"10.2%","9.5%",2.07,0.32
"Soraka","Support",1,"0.5%","0.0%","0.5%","100%","100%",0,0,20,20,"100.0%","0.0%","100%",-124,-25,-8,0.8,"2.1%",275,"8.2%","10.6%",1.88,0.35
"Sylas","Middle",7,"3.4%","1.0%","5.9%","43%","100%",28,26,30,2.2,"69.0%","22.4%","43%",-84,-34,-6.4,8.8,"23.0%",594,"21.9%","21.7%",0.25,0.22
"Sylas","Top",3,"1.5%","1.0%","5.9%","33%","100%",5,8,17,2.8,"64.7%","29.6%","33%",74,335,0.3,8.4,"23.2%",519,"23.9%","21.2%",0.34,0.11
"Syndra","Middle",1,"0.5%","2.0%","2.5%","0%","100%",2,3,3,1.7,"62.5%","17.6%","0%",-52,154,8,9.3,"21.9%",413,"20.2%","22.9%",0.56,0.19
"Tahm Kench","Support",2,"1.0%","0.0%","1.0%","0%","100%",0,11,12,1.1,"80.0%","21.6%","50%",161,219,-3,0.9,"2.1%",165,"7.0%","9.9%",2.16,0.45
"Taliyah","Middle",19,"9.3%","2.5%","11.8%","42%","95%",54,53,106,3,"72.4%","18.0%","16%",-113,-90,-2.7,9.1,"25.3%",643,"25.9%","21.3%",0.52,0.17
"Thresh","Support",2,"1.0%","0.5%","1.5%","50%","100%",0,4,26,6.5,"86.7%","14.8%","100%",322,184,6,1.1,"1.0%",162,"6.1%","9.1%",1.73,0.36
"Tristana","Top",1,"0.5%","0.5%","1.0%","0%","100%",3,4,3,1.5,"50.0%","16.7%","0%",376,415,11,8.2,"20.1%",597,"21.0%","20.2%",0.5,0.19
"Trundle","Jungle",16,"7.8%","6.9%","14.7%","63%","94%",40,47,150,4,"69.1%","23.3%","38%",207,129,2.6,6.5,"17.2%",386,"13.3%","19.1%",0.36,0.56
"Twisted Fate","Middle",14,"6.9%","10.8%","19.6%","50%","50%",37,41,90,3.1,"66.5%","20.0%","14%",64,-214,-10.9,8.6,"24.5%",565,"20.2%","23.6%",0.37,0.27
"Twisted Fate","Top",4,"2.0%","10.8%","19.6%","50%","100%",5,11,15,1.8,"41.7%","19.0%","0%",268,-276,2.3,8.5,"24.4%",547,"19.9%","22.5%",0.48,0.19
"Varus","ADC",5,"2.5%","87.7%","93.1%","20%","0%",18,24,25,1.8,"59.7%","22.9%","20%",-251,-29,-1.8,8.8,"24.9%",855,"28.9%","24.5%",0.42,0.19
"Varus","Top",6,"2.9%","87.7%","93.1%","33%","0%",20,29,18,1.3,"48.7%","30.2%","33%",106,-209,7.5,8,"23.9%",683,"25.3%","20.5%",0.53,0.19
"Vayne","Top",14,"6.9%","13.7%","20.6%","79%","100%",60,30,71,4.4,"53.3%","19.7%","29%",162,33,8.9,8.5,"22.9%",669,"24.5%","20.4%",0.48,0.19
"Vi","Jungle",43,"21.1%","21.6%","42.6%","56%","47%",121,150,328,3,"63.3%","23.1%","30%",4,124,3.5,7.1,"18.6%",388,"13.2%","19.4%",0.38,0.42
"Viktor","Middle",19,"9.3%","2.9%","12.3%","42%","58%",80,45,101,4,"64.9%","15.8%","26%",-2,186,3.2,9.2,"24.8%",865,"28.6%","22.1%",0.49,0.19
"Wukong","Jungle",24,"11.8%","7.4%","19.1%","46%","79%",95,75,149,3.3,"68.2%","20.8%","29%",-72,-38,0.3,6.9,"18.0%",443,"15.5%","21.0%",0.38,0.49
"Xayah","ADC",8,"3.9%","0.5%","4.4%","75%","75%",32,23,57,3.9,"70.6%","24.2%","38%",87,54,3.4,10.8,"32.7%",686,"25.8%","28.6%",0.48,0.37
"Xin Zhao","Jungle",72,"35.3%","18.1%","53.4%","49%","49%",203,237,483,2.9,"69.3%","22.9%","36%",-62,-26,-0.5,7.1,"18.9%",481,"17.2%","20.1%",0.36,0.42
"Yone","Middle",9,"4.4%","1.5%","5.9%","67%","78%",36,20,46,4.1,"61.7%","14.6%","0%",-154,51,-3.8,10.1,"29.9%",614,"23.5%","24.1%",0.44,0.15
"Yorick","Top",30,"14.7%","8.8%","23.5%","50%","93%",75,87,121,2.3,"47.9%","18.6%","13%",-158,44,-2.7,9,"25.8%",576,"22.7%","21.7%",0.44,0.14
"Yunara","ADC",50,"24.5%","11.3%","35.8%","44%","32%",209,172,253,2.7,"65.8%","23.2%","18%",-188,-82,-5.1,10.2,"32.5%",738,"27.4%","27.8%",0.44,0.41
"Yuumi","Support",4,"2.0%","2.5%","4.4%","75%","100%",1,7,59,8.6,"82.2%","12.1%","25%",-37,338,-1.3,0.6,"0.9%",308,"9.2%","11.4%",1.69,0.1
"Zaahen","Top",14,"6.9%","2.0%","8.8%","64%","100%",40,26,67,4.1,"49.8%","13.2%","14%",34,-4,-0.9,8.9,"25.4%",728,"24.8%","21.4%",0.38,0.25
"Zeri","ADC",3,"1.5%","0.5%","2.0%","33%","100%",8,13,10,1.4,"62.1%","27.1%","33%",-76,-361,-10.3,10.6,"35.2%",590,"24.6%","28.0%",0.4,0.56
"Ziggs","ADC",12,"5.9%","5.9%","12.7%","75%","92%",57,25,113,6.8,"70.8%","15.5%","17%",-93,176,-1.5,9.7,"28.1%",992,"31.0%","26.0%",0.51,0.2
"Ziggs","Middle",2,"1.0%","5.9%","12.7%","50%","100%",11,7,7,2.6,"60.0%","16.7%","0%",196,63,9,8.5,"24.8%",1135,"33.6%","21.5%",0.53,0.2
"Zoe","Middle",1,"0.5%","0.5%","1.0%","100%","100%",1,3,7,2.7,"57.1%","33.3%","0%",243,-439,0,8.5,"20.7%",735,"28.7%","18.5%",0.58,0.15
"Zyra","Middle",1,"0.5%","0.0%","0.5%","0%","100%",1,4,6,1.8,"41.2%","17.4%","0%",-24,147,-9,8,"20.6%",903,"31.5%","16.7%",0.61,0.27
