"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fluxo W7M",14,6,8,32.2,172,195,0.88,0.81,-0.55,"-2.7%",44.3,-1.4,-1130,"50%","36%","29%",25.6,"64%","60%","50%","48%","0%","43%","42%","49.0%","51.8%",4.02,1.47,1.43
"FURIA",10,9,1,34,156,78,2,0.69,0.79,"5.4%",52.9,37.1,39,"50%","70%","60%",38.1,"80%","53%","70%","59%","100%","80%","81%","50.3%","52.5%",3.65,1.33,1.72
"LOUD",12,5,7,32.6,142,164,0.87,0.78,-0.08,"-2.2%",54.2,-12.5,376,"58%","58%","50%",26.4,"55%","75%","50%","52%",,"42%","53%","49.5%","50.1%",3.52,1.12,1.41
"LØS",25,15,10,31.9,362,289,1.25,0.82,0.72,"3.5%",55.6,4.4,1000,"60%","64%","72%",30.3,"46%","56%","36%","43%","33%","56%","52%","50.7%","49.5%",3.42,1.35,1.6
"RED Canids",10,3,7,34.3,111,144,0.77,0.74,-0.18,"0.0%",54.3,-24.3,418,"40%","30%","40%",25.6,"22%","17%","60%","59%","50%","30%","47%","50.1%","49.4%",4.05,1.61,1.57
"Vivo Keyd Stars",7,1,6,32.8,56,131,0.43,0.81,-2.2,"-11.1%",23.9,-9.6,-2608,"14%","14%","14%",16,"17%","10%","57%","47%",,"14%","10%","49.7%","45.5%",3.51,0.94,1.54
